variant,fold,n_epochs,best_epoch,best_val_cindex,best3_val_cindex,last5_val_cindex,best_gap,val_cindex_ipcw_at_best,val_IBS_at_best,val_iauc_at_best,best_near_end,status
evidence_cost,0,50,6,0.7044374009508716,0.6872688853671421,0.6087163232963549,0.09572107765451665,0.5708565106679953,0.3829517838000506,0.8004158923992188,False,ok
evidence_cost,2,50,7,0.6629303442754203,0.6349079263410728,0.6020816653322658,0.06084867894315449,0.6506731934078536,0.3300651355895556,0.35140487477041044,False,ok
evidence_cost,3,50,12,0.6918032786885245,0.6466302367941712,0.5879781420765027,0.10382513661202186,0.6476602006614274,0.16255623841585673,0.7397417647942146,False,ok
full,0,50,8,0.7068145800316957,0.661648177496038,0.5310618066561015,0.17575277337559425,0.5654366886126684,0.3352438700980825,0.5052867539305905,False,ok
full,2,50,27,0.6701361088871097,0.6341072858286629,0.6172938350680545,0.05284227381905526,0.5812991184758992,0.6955065150700421,0.38723460385646696,False,ok
full,3,50,43,0.7005464480874317,0.6805100182149363,0.6434972677595628,0.057049180327868876,0.630080704007332,0.3714269202031969,0.3200048532289613,False,ok
no_anchor,0,50,3,0.6933438985736925,0.5636555731642895,0.6591125198098257,0.03423137876386684,0.8000270212069662,0.34658089557402555,0.8670785780318693,False,ok
no_anchor,2,50,18,0.6877502001601281,0.6621297037630104,0.5862289831865493,0.10152121697357885,0.7601438766980941,0.37528273220118835,0.4526273448702093,False,ok
no_anchor,3,50,31,0.7169398907103826,0.6892531876138434,0.6681967213114755,0.048743169398907105,0.6118938232245722,0.2448169667264449,0.4301571851451548,False,ok
no_stage_risk,0,50,9,0.7599049128367671,0.6397253037506604,0.5641838351822505,0.19572107765451663,0.4841311979125535,0.43506690492398575,0.5306391805112235,False,ok
no_stage_risk,2,50,39,0.699759807846277,0.6487856952228449,0.610408326661329,0.08935148118494796,0.6942671412746724,0.5416417802338965,0.7910425826218818,False,ok
no_stage_risk,3,50,26,0.73224043715847,0.6112932604735883,0.6620765027322404,0.07016393442622959,0.6939289414732778,0.2124603925512222,0.5777179497088337,False,ok
